ITEM,Model ID,Marketing Model Name,Marketing Description,Description,MODEL YEAR STATUS,Rider Solution,Short Intro Copy,Feature-Benefit #1,Feature-Benefit #2,Feature-Benefit #3,Feature-Benefit #4,Feature-Benefit #5,Feature-Benefit #6,E-BIKE Recommended,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9,Attribute 10,Attribute 11,Attribute 12,Photo1,Photo2,Photo3,Photo4
BB1USA-100,BB1-CTX-B01,Base Bottom Brackets for 24mm Spindle Cranks,"BSA Threaded Bottom Bracket for 68/73mm Shell - fits 24mm Spindle Cranks, Black",BSA Threaded | Bottom Bracket | 68/73mm Shell | Fits 24mm Spindle Cranks,CONTINUED,,"e*thirteen bottom brackets use ABEC 3 bearings and double lip seals in all e*thirteen bottom brackets enhance durability and reduce friction. All Bottom Brackets include our 1 year, no questions asked guarantee and are compatible with any cranks with 24mm spindles.","BSA and T47 standards, and 68, 68/73, and 83mm widths available","Custom bearings with ABEC 3 and double lip seals offer exceptional protection from the elements, durability, and less friction",Fit 24mm spindle cranks,,,,F,BSA Threaded,,68/73mm,24mm,"16-Notch, 44 mm OD BB Tool",,,Alloy,109g,"Bottom Bracket, bottom bracket spacers, sticker, and User Manual",Black,"5 years, 1 year on bearings",https://drive.google.com/open?id=1HHBOcFvRmzPader7aLTW__7uAj0t2ki3&usp=drive_copy,,https://drive.google.com/open?id=1bVZwqLxvfizktS-6QxDqG5ZoGZsp3E2g&usp=drive_copy,https://drive.google.com/open?id=1ywO293JmvCs3Xm6bHemf3qE2PFRLAFLw&usp=drive_copy
BB1USA-101,BB1-CTX-B01,Base Bottom Brackets for 24mm Spindle Cranks,"PF30 Bottom Bracket for 68/73mm Shell - fits 24mm Spindle Cranks, Black",PF30 | Bottom Bracket | 68/73mm Shell | Fits 24mm Spindle Cranks,CONTINUED,,"e*thirteen bottom brackets use ABEC 3 bearings and double lip seals in all e*thirteen bottom brackets enhance durability and reduce friction. All Bottom Brackets include our 1 year, no questions asked guarantee and are compatible with any cranks with 24mm spindles.","BSA and T47 standards, and 68, 68/73, and 83mm widths available","Custom bearings with ABEC 3 and double lip seals offer exceptional protection from the elements, durability, and less friction",Fit 24mm spindle cranks,,,,F,PF30 ThreadFit,46mm,68/73mm,24mm,e*thirteen BB/Lockring Tool (not incl.),,,Alloy,180g,"Bottom Bracket, bottom bracket spacers, sticker, and User Manual",Black,"5 years, 1 year on bearings",https://drive.google.com/open?id=1PKhUtjpFhVm-t5KTnuB09O3AnBBucFsV&usp=drive_copy,,https://drive.google.com/open?id=1jvIm8xgwtpew0vPWADHVf1e1IswICRdM&usp=drive_copy,https://drive.google.com/open?id=1LBWIfnMSAKH4csAMmljPIr3NtpniC_Z9&usp=drive_copy
BB1USA-102,BB1-CTX-B01,Base Bottom Brackets for 24mm Spindle Cranks,BB86/92/107 Bottom Bracket for 86/92/107mm Shell - fits 24mm Spindle Cranks,BB86/92/107 | Bottom Bracket | 86.5/91.5/107mm Shell | Fits 24mm Spindle Cranks,CONTINUED,,"e*thirteen bottom brackets use ABEC 3 bearings and double lip seals in all e*thirteen bottom brackets enhance durability and reduce friction. All Bottom Brackets include our 1 year, no questions asked guarantee and are compatible with any cranks with 24mm spindles.","BSA and T47 standards, and 68, 68/73, and 83mm widths available","Custom bearings with ABEC 3 and double lip seals offer exceptional protection from the elements, durability, and less friction",Fit 24mm spindle cranks,,,,F,BB92,41mm,86/92/107mm,24mm,,,,,90g,,,1 Year,https://drive.google.com/open?id=1YhHrlBEb97_zO5CHPcYO2eSMY6gXp-fQ&usp=drive_copy,,https://drive.google.com/open?id=1aBcPnkc54H6-WYM_jYZgGSvnGkqwHOsA&usp=drive_copy,https://drive.google.com/open?id=1beu0kU1EgzsTwlo1VN_RNQK7m0Je0otA&usp=drive_copy
BB1USA-103,BB1-CTX-B01,Base Bottom Brackets for 24mm Spindle Cranks,"BSA Threaded Bottom Bracket for 83mm Shell - fits 24mm Spindle Cranks, Black",BSA Threaded | Bottom Bracket | 83mm Shell | Fits 24mm Spindle Cranks,CONTINUED,,"e*thirteen bottom brackets use ABEC 3 bearings and double lip seals in all e*thirteen bottom brackets enhance durability and reduce friction. All Bottom Brackets include our 1 year, no questions asked guarantee and are compatible with any cranks with 24mm spindles.","BSA and T47 standards, and 68, 68/73, and 83mm widths available","Custom bearings with ABEC 3 and double lip seals offer exceptional protection from the elements, durability, and less friction",Fit 24mm spindle cranks,,,,F,BSA Threaded,,83mm,24mm,"16-Notch, 44 mm OD BB Tool",,,Alloy,109g,"Bottom Bracket, bottom bracket spacers, sticker, and User Manual",Black,"5 years, 1 year on bearings",https://drive.google.com/open?id=1zXc3Y2DzT_HhEGBRqorvyrZebHL6LFgu&usp=drive_copy,,https://drive.google.com/open?id=1w-TaqXiUz0fnTiDgs5yfYbyMXlHc7jAa&usp=drive_copy,https://drive.google.com/open?id=1V2BeD4okC7Us39G7l7zCxOJI-lP7XSz3&usp=drive_copy
BB20.P-BB30.K,BB2-CTX-P01,Plus Bottom Brackets for 30mm Spindle Cranks,"BB30 Bottom Bracket for 68/73mm BB30 Shell - fits 30mm Spindle Cranks, Black",BB30 | Bottom Bracket | adapts all e*thirteen cranks to 68 or 73mm BB30 frames | Black,CONTINUED,,"e*thirteen bottom brackets use ABEC 3 bearings and double lip seals in all e*thirteen bottom brackets enhance durability and reduce friction. All Bottom Brackets include our 1 year, no questions asked guarantee and are compatible with any cranks with 30mm spindles.","Custom bearings with ABEC 3 and double lip seals offer exceptional protection from the elements, durability, and less friction","PF30/BB30: Thread-together system eliminates creaks.

BB92: Industry-exclusive dual-row bearings maximize durability.",Fit 30mm spindle cranks,,,,F,BB30 ThreadFit,42mm,68/73mm,30mm,e*thirteen BB/Lockring Tool (not incl.),,,Alloy,127g,"Bottom Bracket, bottom bracket spacers, sticker, and User Manual",Black,"5 years, 1 year on bearings",https://drive.google.com/open?id=1PXPUEsbijK4qp0JWH8NLmhv4QuT9JCHC&usp=drive_copy,https://drive.google.com/open?id=1yTegR8O9960pkNyw6Z4uPdk9W53oqUOp&usp=drive_copy,https://drive.google.com/open?id=1K_t9RxOQkmNY7SAJpKBLzf_B_W-ENJnX&usp=drive_copy,https://drive.google.com/open?id=1PxfNvVV2xGwSGdkhrtpwfqbCw-AtEBHn&usp=drive_copy
BB20.P-BB92.K,BB2-CTX-P01,Plus Bottom Brackets for 30mm Spindle Cranks,BB92/BB107/BB121 Bottom Bracket for 92/107mm Shell - fits 30mm Spindle Cranks,BB92/BB107/BB121 | Bottom Bracket | adapts all e*thirteen cranks to 92mm/107mm/121mm frames | includes chainline spacer kit for LG1 and non-APS cranks | Black,CONTINUED,,"e*thirteen bottom brackets use ABEC 3 bearings and double lip seals in all e*thirteen bottom brackets enhance durability and reduce friction. All Bottom Brackets include our 1 year, no questions asked guarantee and are compatible with any cranks with 30mm spindles.","Custom bearings with ABEC 3 and double lip seals offer exceptional protection from the elements, durability, and less friction","PF30/BB30: Thread-together system eliminates creaks.

BB92: Industry-exclusive dual-row bearings maximize durability.",Fit 30mm spindle cranks,,,,F,BB92,41mm,92/107mm,30mm,,,,,93g,,,1 Year,https://drive.google.com/open?id=1_NolaYrI3zAXpkQh6qyD6AW8epIXa25b&usp=drive_copy,,https://drive.google.com/open?id=1sb_nTsbakw0MkB8GQWFkIvoOc8v0PZQO&usp=drive_copy,https://drive.google.com/open?id=1d_vTAajx6debtQwnRqrT5g_I2itpp9MG&usp=drive_copy
BB20.P-BSA73.K,BB2-CTX-P01,Plus Bottom Brackets for 30mm Spindle Cranks,"BSA Threaded Bottom Bracket for 68/73mm Shell - fits 30mm Spindle Cranks, Black",68/73mm BSA | Bottom Bracket | adapts all e*thirteen cranks to 68/73mm BSA threaded frames | Black,CONTINUED,,"e*thirteen bottom brackets use ABEC 3 bearings and double lip seals in all e*thirteen bottom brackets enhance durability and reduce friction. All Bottom Brackets include our 1 year, no questions asked guarantee and are compatible with any cranks with 30mm spindles.","Custom bearings with ABEC 3 and double lip seals offer exceptional protection from the elements, durability, and less friction","PF30/BB30: Thread-together system eliminates creaks.

BB92: Industry-exclusive dual-row bearings maximize durability.",Fit 30mm spindle cranks,,,,F,BSA Threaded,,68/73mm,30mm,e*thirteen BB/Lockring Tool (not incl.),,,Alloy,92g,"Bottom Bracket, bottom bracket spacers, sticker, and User Manual",Black,"5 years, 1 year on bearings",https://drive.google.com/open?id=1TFwejdDICPN5tNeNHq-t2imF-_AR8EmJ&usp=drive_copy,https://drive.google.com/open?id=1RlWFjl-THeOsYaLL2eyB5mCviOafibGY&usp=drive_copy,https://drive.google.com/open?id=1zLJAwlqh8sQPOXL-HMO5S45fS2k-DZx-&usp=drive_copy,https://drive.google.com/open?id=1JxzJ8NGj5_oxj2_0kM0kR31Q4llJgP4e&usp=drive_copy
BB20.P-BSA83.K,BB2-CTX-P01,Plus Bottom Brackets for 30mm Spindle Cranks,"BSA Threaded Bottom Bracket for 83mm Shell - fits 30mm Spindle Cranks, Black",83mm BSA | Bottom Bracket | adapts all e*thirteen cranks to 83mm BSA threaded frames | Black,CONTINUED,,"e*thirteen bottom brackets use ABEC 3 bearings and double lip seals in all e*thirteen bottom brackets enhance durability and reduce friction. All Bottom Brackets include our 1 year, no questions asked guarantee and are compatible with any cranks with 30mm spindles.","Custom bearings with ABEC 3 and double lip seals offer exceptional protection from the elements, durability, and less friction","PF30/BB30: Thread-together system eliminates creaks.

BB92: Industry-exclusive dual-row bearings maximize durability.",Fit 30mm spindle cranks,,,,F,BSA Threaded,,83mm,30mm,e*thirteen BB/Lockring Tool (not incl.),,,Alloy,94g,"Bottom Bracket, bottom bracket spacers, sticker, and User Manual",Black,"5 years, 1 year on bearings",https://drive.google.com/open?id=1e0B_0B9lT0YJwY637UHAGAYcM1Ap-TO8&usp=drive_copy,,https://drive.google.com/open?id=1YmR7WAMzE8c2cOFFmjfUCu9Qvq78sj6s&usp=drive_copy,https://drive.google.com/open?id=1YmR7WAMzE8c2cOFFmjfUCu9Qvq78sj6s&usp=drive_copy
BB20.P-PF30.K,BB2-CTX-P01,Plus Bottom Brackets for 30mm Spindle Cranks,"PF30 Bottom Bracket for PressFit 30 frames - fits 30mm Spindle Cranks, Black",PF30 | Bottom Bracket | adapts all e*thirteen cranks to PressFit 30 frames | Black,CONTINUED,,"e*thirteen bottom brackets use ABEC 3 bearings and double lip seals in all e*thirteen bottom brackets enhance durability and reduce friction. All Bottom Brackets include our 1 year, no questions asked guarantee and are compatible with any cranks with 30mm spindles.","Custom bearings with ABEC 3 and double lip seals offer exceptional protection from the elements, durability, and less friction","PF30/BB30: Thread-together system eliminates creaks.

BB92: Industry-exclusive dual-row bearings maximize durability.",Fit 30mm spindle cranks,,,,F,PF30 ThreadFit,46mm,68/73mm,30mm,e*thirteen BB/Lockring Tool (not incl.),,,Alloy,144g,"Bottom Bracket, bottom bracket spacers, sticker, and User Manual",Black,"5 years, 1 year on bearings",https://drive.google.com/open?id=1FfNfDBO2VURte44rYbEnbpHSTBQpp7wo&usp=drive_copy,https://drive.google.com/open?id=1aTyrv7nE5cUunH_W94Xv_358Ta4RP2h_&usp=drive_copy,https://drive.google.com/open?id=1T1VlnwH-DWXE-EIPI9VPYH0yqRDq0q6H&usp=drive_copy,https://drive.google.com/open?id=1QwuqJlq5TtZAQ0bGwwqhM_oG9ywr1fSy&usp=drive_copy
BB2UNA-100,BB2-CTX-P01,Plus Bottom Brackets for 30mm Spindle Cranks,"T47 Threaded Bottom Bracket for 68/73mm Shell - fits 30mm Spindle Cranks, Black",T47 Threaded | Bottom Bracket | 68/73mm Shell | Fits 30mm Spindle Cranks,CONTINUED,,"e*thirteen bottom brackets use ABEC 3 bearings and double lip seals in all e*thirteen bottom brackets enhance durability and reduce friction. All Bottom Brackets include our 1 year, no questions asked guarantee and are compatible with any cranks with 30mm spindles.","Custom bearings with ABEC 3 and double lip seals offer exceptional protection from the elements, durability, and less friction","PF30/BB30: Thread-together system eliminates creaks.

BB92: Industry-exclusive dual-row bearings maximize durability.",Fit 30mm spindle cranks,,,,F,T74,,68/73mm,30mm,e*thirteen BB/Lockring Tool (not incl.),,,Alloy,111g,"Bottom Bracket, bottom bracket spacers, sticker, and User Manual",Black,"5 years, 1 year on bearings",https://drive.google.com/open?id=16p9Lk0GIty71d5qjj-7ovUF0svU68jSw&usp=drive_copy,https://drive.google.com/open?id=1qnNSBXzjCYZHy_RaKPpY95sV1oKvoJID&usp=drive_copy,https://drive.google.com/open?id=1sDor08d3BdAJV-vkhx3rmbHkG8m_7JpM&usp=drive_copy,https://drive.google.com/open?id=1DsUzanDt_f_EsfL1YzaAFRsoYfs3IiQl&usp=drive_copy
